full.name,PA,run,algo,expl.var,rand,var.imp,Predictor_variable,Group
Culicoides_PA3_RUN4_RF,PA3,RUN4,RF,banana harvested area,4,0.012688,Banana Harvested Area,Land Use
Culicoides_PA3_RUN4_RF,PA3,RUN4,RF,banana harvested area,5,0.012088,Banana Harvested Area,Land Use
Culicoides_PA3_allRun_RF,PA3,allRun,RF,banana harvested area,1,0.011019,Banana Harvested Area,Land Use
Culicoides_PA3_allRun_RF,PA3,allRun,RF,banana harvested area,2,0.01063,Banana Harvested Area,Land Use
Culicoides_PA3_allRun_RF,PA3,allRun,RF,banana harvested area,3,0.010255,Banana Harvested Area,Land Use
Culicoides_PA3_allRun_RF,PA3,allRun,RF,banana harvested area,4,0.010728,Banana Harvested Area,Land Use
Culicoides_PA3_allRun_RF,PA3,allRun,RF,banana harvested area,5,0.011395,Banana Harvested Area,Land Use
Culicoides_allData_allRun_RF,allData,allRun,RF,banana harvested area,1,0.071646,Banana Harvested Area,Land Use
Culicoides_allData_allRun_RF,allData,allRun,RF,banana harvested area,2,0.075958,Banana Harvested Area,Land Use
Culicoides_allData_allRun_RF,allData,allRun,RF,banana harvested area,3,0.073887,Banana Harvested Area,Land Use
Culicoides_allData_allRun_RF,allData,allRun,RF,banana harvested area,4,0.076642,Banana Harvested Area,Land Use
Culicoides_allData_allRun_RF,allData,allRun,RF,banana harvested area,5,0.074965,Banana Harvested Area,Land Use
Culicoides_PA1_RUN1_RF,PA1,RUN1,RF,cassava harvested area,1,0.00223,Cassava Harvested Area,Land Use
Culicoides_PA1_RUN1_RF,PA1,RUN1,RF,cassava harvested area,2,0.002965,Cassava Harvested Area,Land Use
Culicoides_PA1_RUN1_RF,PA1,RUN1,RF,cassava harvested area,3,0.002897,Cassava Harvested Area,Land Use
Culicoides_PA1_RUN1_RF,PA1,RUN1,RF,cassava harvested area,4,0.002787,Cassava Harvested Area,Land Use
Culicoides_PA1_RUN1_RF,PA1,RUN1,RF,cassava harvested area,5,0.002973,Cassava Harvested Area,Land Use
Culicoides_PA1_RUN3_RF,PA1,RUN3,RF,cassava harvested area,1,0.002404,Cassava Harvested Area,Land Use
Culicoides_PA1_RUN3_RF,PA1,RUN3,RF,cassava harvested area,2,0.002767,Cassava Harvested Area,Land Use
Culicoides_PA1_RUN3_RF,PA1,RUN3,RF,cassava harvested area,3,0.002478,Cassava Harvested Area,Land Use
Culicoides_PA1_RUN3_RF,PA1,RUN3,RF,cassava harvested area,4,0.002481,Cassava Harvested Area,Land Use
Culicoides_PA1_RUN3_RF,PA1,RUN3,RF,cassava harvested area,5,0.002724,Cassava Harvested Area,Land Use
Culicoides_PA1_RUN4_RF,PA1,RUN4,RF,cassava harvested area,1,0.009066,Cassava Harvested Area,Land Use
Culicoides_PA1_RUN4_RF,PA1,RUN4,RF,cassava harvested area,2,0.010494,Cassava Harvested Area,Land Use
Culicoides_PA1_RUN4_RF,PA1,RUN4,RF,cassava harvested area,3,0.009136,Cassava Harvested Area,Land Use
Culicoides_PA1_RUN4_RF,PA1,RUN4,RF,cassava harvested area,4,0.01017,Cassava Harvested Area,Land Use
Culicoides_PA1_RUN4_RF,PA1,RUN4,RF,cassava harvested area,5,0.011401,Cassava Harvested Area,Land Use
Culicoides_PA1_allRun_RF,PA1,allRun,RF,cassava harvested area,1,0.004449,Cassava Harvested Area,Land Use
Culicoides_PA1_allRun_RF,PA1,allRun,RF,cassava harvested area,2,0.005219,Cassava Harvested Area,Land Use
Culicoides_PA1_allRun_RF,PA1,allRun,RF,cassava harvested area,3,0.005644,Cassava Harvested Area,Land Use
Culicoides_PA1_allRun_RF,PA1,allRun,RF,cassava harvested area,4,0.004523,Cassava Harvested Area,Land Use
Culicoides_PA1_allRun_RF,PA1,allRun,RF,cassava harvested area,5,0.006025,Cassava Harvested Area,Land Use
Culicoides_PA2_RUN1_RF,PA2,RUN1,RF,cassava harvested area,1,0.00291,Cassava Harvested Area,Land Use
Culicoides_PA2_RUN1_RF,PA2,RUN1,RF,cassava harvested area,2,0.002659,Cassava Harvested Area,Land Use
Culicoides_PA2_RUN1_RF,PA2,RUN1,RF,cassava harvested area,3,0.002993,Cassava Harvested Area,Land Use
Culicoides_PA2_RUN1_RF,PA2,RUN1,RF,cassava harvested area,4,0.002817,Cassava Harvested Area,Land Use
Culicoides_PA2_RUN1_RF,PA2,RUN1,RF,cassava harvested area,5,0.002797,Cassava Harvested Area,Land Use
Culicoides_PA2_RUN3_RF,PA2,RUN3,RF,cassava harvested area,1,0.003378,Cassava Harvested Area,Land Use
Culicoides_PA2_RUN3_RF,PA2,RUN3,RF,cassava harvested area,2,0.003602,Cassava Harvested Area,Land Use
Culicoides_PA2_RUN3_RF,PA2,RUN3,RF,cassava harvested area,3,0.003918,Cassava Harvested Area,Land Use
Culicoides_PA2_RUN3_RF,PA2,RUN3,RF,cassava harvested area,4,0.003647,Cassava Harvested Area,Land Use
Culicoides_PA2_RUN3_RF,PA2,RUN3,RF,cassava harvested area,5,0.003867,Cassava Harvested Area,Land Use
Culicoides_PA2_RUN4_RF,PA2,RUN4,RF,cassava harvested area,1,0.00219,Cassava Harvested Area,Land Use
Culicoides_PA2_RUN4_RF,PA2,RUN4,RF,cassava harvested area,2,0.002487,Cassava Harvested Area,Land Use
Culicoides_PA2_RUN4_RF,PA2,RUN4,RF,cassava harvested area,3,0.00244,Cassava Harvested Area,Land Use
Culicoides_PA2_RUN4_RF,PA2,RUN4,RF,cassava harvested area,4,0.002251,Cassava Harvested Area,Land Use
Culicoides_PA2_RUN4_RF,PA2,RUN4,RF,cassava harvested area,5,0.002208,Cassava Harvested Area,Land Use
Culicoides_PA2_allRun_RF,PA2,allRun,RF,cassava harvested area,1,0.003462,Cassava Harvested Area,Land Use
Culicoides_PA2_allRun_RF,PA2,allRun,RF,cassava harvested area,2,0.002977,Cassava Harvested Area,Land Use
Culicoides_PA2_allRun_RF,PA2,allRun,RF,cassava harvested area,3,0.003736,Cassava Harvested Area,Land Use
Culicoides_PA2_allRun_RF,PA2,allRun,RF,cassava harvested area,4,0.003392,Cassava Harvested Area,Land Use
Culicoides_PA2_allRun_RF,PA2,allRun,RF,cassava harvested area,5,0.003422,Cassava Harvested Area,Land Use
Culicoides_PA3_RUN1_RF,PA3,RUN1,RF,cassava harvested area,1,0.003529,Cassava Harvested Area,Land Use
Culicoides_PA3_RUN1_RF,PA3,RUN1,RF,cassava harvested area,2,0.003056,Cassava Harvested Area,Land Use
Culicoides_PA3_RUN1_RF,PA3,RUN1,RF,cassava harvested area,3,0.00367,Cassava Harvested Area,Land Use
Culicoides_PA3_RUN1_RF,PA3,RUN1,RF,cassava harvested area,4,0.003128,Cassava Harvested Area,Land Use
Culicoides_PA3_RUN1_RF,PA3,RUN1,RF,cassava harvested area,5,0.0033,Cassava Harvested Area,Land Use
