PA.nb.absences,Sampling_Technique,PA_Ratio,Radii,Sigma_(KDE),Boyce_Index
Density_Weighted_Sigma5_Buffer50k_300k_n4000.tif,Density-Weighted Geographic Sampling,4000,50 - 300 km,5,0.833271137
Density_Weighted_Sigma1_Buffer50k_500k_n4000.tif,Density-Weighted Geographic Sampling,4000,50 - 500 km,1,0.680799152
Density_Weighted_Sigma3_Buffer50k_500k_n4000.tif,Density-Weighted Geographic Sampling,4000,50 - 500 km,3,0.575335079
Density_Weighted_Sigma5_Buffer50k_500k_n4000.tif,Density-Weighted Geographic Sampling,4000,50 - 500 km,5,0.486980416
Density_Weighted_Sigma1_Buffer0_n10000.tif,Density-Weighted Geographic Sampling,10000, - ,1,0.606501696
Density_Weighted_Sigma3_Buffer0_n10000.tif,Density-Weighted Geographic Sampling,10000, - ,3,0.592441243
Density_Weighted_Sigma5_Buffer0_n10000.tif,Density-Weighted Geographic Sampling,10000, - ,5,0.746703305
Density_Weighted_Sigma1_Buffer50k_150k_n10000.tif,Density-Weighted Geographic Sampling,10000,50 - 150 km,1,0.662140213
Density_Weighted_Sigma3_Buffer50k_150k_n10000.tif,Density-Weighted Geographic Sampling,10000,50 - 150 km,3,0.695854011
Density_Weighted_Sigma5_Buffer50k_150k_n10000.tif,Density-Weighted Geographic Sampling,10000,50 - 150 km,5,0.723111899
Density_Weighted_Sigma1_Buffer50k_300k_n10000.tif,Density-Weighted Geographic Sampling,10000,50 - 300 km,1,0.577289293
Density_Weighted_Sigma3_Buffer50k_300k_n10000.tif,Density-Weighted Geographic Sampling,10000,50 - 300 km,3,0.690928918
Density_Weighted_Sigma5_Buffer50k_300k_n10000.tif,Density-Weighted Geographic Sampling,10000,50 - 300 km,5,0.924278179
Density_Weighted_Sigma1_Buffer50k_500k_n10000.tif,Density-Weighted Geographic Sampling,10000,50 - 500 km,1,0.689413723
Density_Weighted_Sigma3_Buffer50k_500k_n10000.tif,Density-Weighted Geographic Sampling,10000,50 - 500 km,3,0.708197876
Density_Weighted_Sigma5_Buffer50k_500k_n10000.tif,Density-Weighted Geographic Sampling,10000,50 - 500 km,5,0.653049043
Density_PopulationDSigma1_Buffer0_n400.tif,Density-Weighted Population-Based Sampling,400, - ,1,0.777445543
Density_PopulationDSigma3_Buffer0_n400.tif,Density-Weighted Population-Based Sampling,400, - ,3,0.726742573
Density_PopulationDSigma5_Buffer0_n400.tif,Density-Weighted Population-Based Sampling,400, - ,5,0.85493314
Density_PopulationDSigma1_Buffer50k_150k_n400.tif,Density-Weighted Population-Based Sampling,400,50 - 150 km,1,0.865538258
Density_PopulationDSigma3_Buffer50k_150k_n400.tif,Density-Weighted Population-Based Sampling,400,50 - 150 km,3,0.775779838
Density_PopulationDSigma5_Buffer50k_150k_n400.tif,Density-Weighted Population-Based Sampling,400,50 - 150 km,5,0.816244108
Density_PopulationDSigma1_Buffer50k_300k_n400.tif,Density-Weighted Population-Based Sampling,400,50 - 300 km,1,0.850472318
Density_PopulationDSigma3_Buffer50k_300k_n400.tif,Density-Weighted Population-Based Sampling,400,50 - 300 km,3,0.904278179
Density_PopulationDSigma5_Buffer50k_300k_n400.tif,Density-Weighted Population-Based Sampling,400,50 - 300 km,5,0.791233005
Density_PopulationDSigma1_Buffer50k_500k_n400.tif,Density-Weighted Population-Based Sampling,400,50 - 500 km,1,0.687696987
Density_PopulationDSigma3_Buffer50k_500k_n400.tif,Density-Weighted Population-Based Sampling,400,50 - 500 km,3,0.893591268
Density_PopulationDSigma5_Buffer50k_500k_n400.tif,Density-Weighted Population-Based Sampling,400,50 - 500 km,5,0.847313415
Density_PopulationDSigma1_Buffer0_n800.tif,Density-Weighted Population-Based Sampling,800, - ,1,0.586597051
Density_PopulationDSigma3_Buffer0_n800.tif,Density-Weighted Population-Based Sampling,800, - ,3,0.4945305
Density_PopulationDSigma5_Buffer0_n800.tif,Density-Weighted Population-Based Sampling,800, - ,5,0.852295885
Density_PopulationDSigma1_Buffer50k_150k_n800.tif,Density-Weighted Population-Based Sampling,800,50 - 150 km,1,0.78626185
Density_PopulationDSigma3_Buffer50k_150k_n800.tif,Density-Weighted Population-Based Sampling,800,50 - 150 km,3,0.872033293
Density_PopulationDSigma5_Buffer50k_150k_n800.tif,Density-Weighted Population-Based Sampling,800,50 - 150 km,5,0.669191161
Density_PopulationDSigma1_Buffer50k_300k_n800.tif,Density-Weighted Population-Based Sampling,800,50 - 300 km,1,0.587706141
Density_PopulationDSigma3_Buffer50k_300k_n800.tif,Density-Weighted Population-Based Sampling,800,50 - 300 km,3,0.604244944
Density_PopulationDSigma5_Buffer50k_300k_n800.tif,Density-Weighted Population-Based Sampling,800,50 - 300 km,5,0.826237328
Density_PopulationDSigma1_Buffer50k_500k_n800.tif,Density-Weighted Population-Based Sampling,800,50 - 500 km,1,0.422243125
Density_PopulationDSigma3_Buffer50k_500k_n800.tif,Density-Weighted Population-Based Sampling,800,50 - 500 km,3,0.196675311
Density_PopulationDSigma5_Buffer50k_500k_n800.tif,Density-Weighted Population-Based Sampling,800,50 - 500 km,5,0.292550757
Density_PopulationDSigma1_Buffer0_n2000.tif,Density-Weighted Population-Based Sampling,2000, - ,1,0.845609405
Density_PopulationDSigma3_Buffer0_n2000.tif,Density-Weighted Population-Based Sampling,2000, - ,3,0.884037147
Density_PopulationDSigma5_Buffer0_n2000.tif,Density-Weighted Population-Based Sampling,2000, - ,5,0.896240602
Density_PopulationDSigma1_Buffer50k_150k_n2000.tif,Density-Weighted Population-Based Sampling,2000,50 - 150 km,1,0.751976392
Density_PopulationDSigma3_Buffer50k_150k_n2000.tif,Density-Weighted Population-Based Sampling,2000,50 - 150 km,3,0.894657891
Density_PopulationDSigma5_Buffer50k_150k_n2000.tif,Density-Weighted Population-Based Sampling,2000,50 - 150 km,5,0.660632347
Density_PopulationDSigma1_Buffer50k_300k_n2000.tif,Density-Weighted Population-Based Sampling,2000,50 - 300 km,1,0.585353443
Density_PopulationDSigma3_Buffer50k_300k_n2000.tif,Density-Weighted Population-Based Sampling,2000,50 - 300 km,3,0.881445801
Density_PopulationDSigma5_Buffer50k_300k_n2000.tif,Density-Weighted Population-Based Sampling,2000,50 - 300 km,5,0.67523352
Density_PopulationDSigma1_Buffer50k_500k_n2000.tif,Density-Weighted Population-Based Sampling,2000,50 - 500 km,1,0.896534886
Density_PopulationDSigma3_Buffer50k_500k_n2000.tif,Density-Weighted Population-Based Sampling,2000,50 - 500 km,3,0.707929569
Density_PopulationDSigma5_Buffer50k_500k_n2000.tif,Density-Weighted Population-Based Sampling,2000,50 - 500 km,5,0.560783195
Density_PopulationDSigma1_Buffer0_n4000.tif,Density-Weighted Population-Based Sampling,4000, - ,1,0.734392331
Density_PopulationDSigma3_Buffer0_n4000.tif,Density-Weighted Population-Based Sampling,4000, - ,3,0.857689539
Density_PopulationDSigma5_Buffer0_n4000.tif,Density-Weighted Population-Based Sampling,4000, - ,5,0.898082049
Density_PopulationDSigma1_Buffer50k_150k_n4000.tif,Density-Weighted Population-Based Sampling,4000,50 - 150 km,1,0.816473641
Density_PopulationDSigma3_Buffer50k_150k_n4000.tif,Density-Weighted Population-Based Sampling,4000,50 - 150 km,3,0.896085354
Density_PopulationDSigma5_Buffer50k_150k_n4000.tif,Density-Weighted Population-Based Sampling,4000,50 - 150 km,5,0.891312587
Density_PopulationDSigma1_Buffer50k_300k_n4000.tif,Density-Weighted Population-Based Sampling,4000,50 - 300 km,1,0.85587766
Density_PopulationDSigma3_Buffer50k_300k_n4000.tif,Density-Weighted Population-Based Sampling,4000,50 - 300 km,3,0.829947564
Density_PopulationDSigma5_Buffer50k_300k_n4000.tif,Density-Weighted Population-Based Sampling,4000,50 - 300 km,5,0.860280737
Density_PopulationDSigma1_Buffer50k_500k_n4000.tif,Density-Weighted Population-Based Sampling,4000,50 - 500 km,1,0.880693072
Density_PopulationDSigma3_Buffer50k_500k_n4000.tif,Density-Weighted Population-Based Sampling,4000,50 - 500 km,3,0.871756361
