full.name,PA,run,algo,expl var,rand,var.imp,Group,Predictor_variable
OROV.revised_PA2_allRun_RF,PA2,allRun,RF,banana harvested area,2,0.009008,Land Use,Banana Harvested Area
OROV.revised_PA2_allRun_RF,PA2,allRun,RF,banana harvested area,3,0.008513,Land Use,Banana Harvested Area
OROV.revised_PA2_allRun_RF,PA2,allRun,RF,banana harvested area,4,0.009708,Land Use,Banana Harvested Area
OROV.revised_PA2_allRun_RF,PA2,allRun,RF,banana harvested area,5,0.010125,Land Use,Banana Harvested Area
OROV.revised_PA3_RUN1_RF,PA3,RUN1,RF,banana harvested area,1,0.007365,Land Use,Banana Harvested Area
OROV.revised_PA3_RUN1_RF,PA3,RUN1,RF,banana harvested area,2,0.007084,Land Use,Banana Harvested Area
OROV.revised_PA3_RUN1_RF,PA3,RUN1,RF,banana harvested area,3,0.007062,Land Use,Banana Harvested Area
OROV.revised_PA3_RUN1_RF,PA3,RUN1,RF,banana harvested area,4,0.006483,Land Use,Banana Harvested Area
OROV.revised_PA3_RUN1_RF,PA3,RUN1,RF,banana harvested area,5,0.00611,Land Use,Banana Harvested Area
OROV.revised_PA3_RUN2_RF,PA3,RUN2,RF,banana harvested area,1,0.007317,Land Use,Banana Harvested Area
OROV.revised_PA3_RUN2_RF,PA3,RUN2,RF,banana harvested area,2,0.00726,Land Use,Banana Harvested Area
OROV.revised_PA3_RUN2_RF,PA3,RUN2,RF,banana harvested area,3,0.007218,Land Use,Banana Harvested Area
OROV.revised_PA3_RUN2_RF,PA3,RUN2,RF,banana harvested area,4,0.007182,Land Use,Banana Harvested Area
OROV.revised_PA3_RUN2_RF,PA3,RUN2,RF,banana harvested area,5,0.007651,Land Use,Banana Harvested Area
OROV.revised_PA3_RUN3_RF,PA3,RUN3,RF,banana harvested area,1,0.005718,Land Use,Banana Harvested Area
OROV.revised_PA3_RUN3_RF,PA3,RUN3,RF,banana harvested area,2,0.005697,Land Use,Banana Harvested Area
OROV.revised_PA3_RUN3_RF,PA3,RUN3,RF,banana harvested area,3,0.005777,Land Use,Banana Harvested Area
OROV.revised_PA3_RUN3_RF,PA3,RUN3,RF,banana harvested area,4,0.005139,Land Use,Banana Harvested Area
OROV.revised_PA3_RUN3_RF,PA3,RUN3,RF,banana harvested area,5,0.005602,Land Use,Banana Harvested Area
OROV.revised_PA3_RUN4_RF,PA3,RUN4,RF,banana harvested area,1,0.008105,Land Use,Banana Harvested Area
OROV.revised_PA3_RUN4_RF,PA3,RUN4,RF,banana harvested area,2,0.007425,Land Use,Banana Harvested Area
OROV.revised_PA3_RUN4_RF,PA3,RUN4,RF,banana harvested area,3,0.007421,Land Use,Banana Harvested Area
OROV.revised_PA3_RUN4_RF,PA3,RUN4,RF,banana harvested area,4,0.008145,Land Use,Banana Harvested Area
OROV.revised_PA3_RUN4_RF,PA3,RUN4,RF,banana harvested area,5,0.008028,Land Use,Banana Harvested Area
OROV.revised_PA3_allRun_RF,PA3,allRun,RF,banana harvested area,1,0.00676,Land Use,Banana Harvested Area
OROV.revised_PA3_allRun_RF,PA3,allRun,RF,banana harvested area,2,0.006881,Land Use,Banana Harvested Area
OROV.revised_PA3_allRun_RF,PA3,allRun,RF,banana harvested area,3,0.006642,Land Use,Banana Harvested Area
OROV.revised_PA3_allRun_RF,PA3,allRun,RF,banana harvested area,4,0.007431,Land Use,Banana Harvested Area
OROV.revised_PA3_allRun_RF,PA3,allRun,RF,banana harvested area,5,0.006393,Land Use,Banana Harvested Area
OROV.revised_allData_allRun_RF,allData,allRun,RF,banana harvested area,1,0.063465,Land Use,Banana Harvested Area
OROV.revised_allData_allRun_RF,allData,allRun,RF,banana harvested area,2,0.056934,Land Use,Banana Harvested Area
OROV.revised_allData_allRun_RF,allData,allRun,RF,banana harvested area,3,0.059153,Land Use,Banana Harvested Area
OROV.revised_allData_allRun_RF,allData,allRun,RF,banana harvested area,4,0.064863,Land Use,Banana Harvested Area
OROV.revised_allData_allRun_RF,allData,allRun,RF,banana harvested area,5,0.064264,Land Use,Banana Harvested Area
OROV.revised_PA1_RUN1_RF,PA1,RUN1,RF,cassava harvested area,1,0.005099,Land Use,Cassava Harvested Area
OROV.revised_PA1_RUN1_RF,PA1,RUN1,RF,cassava harvested area,2,0.005767,Land Use,Cassava Harvested Area
OROV.revised_PA1_RUN1_RF,PA1,RUN1,RF,cassava harvested area,3,0.004716,Land Use,Cassava Harvested Area
OROV.revised_PA1_RUN1_RF,PA1,RUN1,RF,cassava harvested area,4,0.00561,Land Use,Cassava Harvested Area
OROV.revised_PA1_RUN1_RF,PA1,RUN1,RF,cassava harvested area,5,0.005367,Land Use,Cassava Harvested Area
OROV.revised_PA1_RUN2_RF,PA1,RUN2,RF,cassava harvested area,1,0.005972,Land Use,Cassava Harvested Area
OROV.revised_PA1_RUN2_RF,PA1,RUN2,RF,cassava harvested area,2,0.006352,Land Use,Cassava Harvested Area
OROV.revised_PA1_RUN2_RF,PA1,RUN2,RF,cassava harvested area,3,0.006046,Land Use,Cassava Harvested Area
OROV.revised_PA1_RUN2_RF,PA1,RUN2,RF,cassava harvested area,4,0.006287,Land Use,Cassava Harvested Area
OROV.revised_PA1_RUN2_RF,PA1,RUN2,RF,cassava harvested area,5,0.006612,Land Use,Cassava Harvested Area
OROV.revised_PA1_RUN3_RF,PA1,RUN3,RF,cassava harvested area,1,0.010617,Land Use,Cassava Harvested Area
OROV.revised_PA1_RUN3_RF,PA1,RUN3,RF,cassava harvested area,2,0.011012,Land Use,Cassava Harvested Area
OROV.revised_PA1_RUN3_RF,PA1,RUN3,RF,cassava harvested area,3,0.010684,Land Use,Cassava Harvested Area
OROV.revised_PA1_RUN3_RF,PA1,RUN3,RF,cassava harvested area,4,0.01106,Land Use,Cassava Harvested Area
OROV.revised_PA1_RUN3_RF,PA1,RUN3,RF,cassava harvested area,5,0.009535,Land Use,Cassava Harvested Area
OROV.revised_PA1_RUN4_RF,PA1,RUN4,RF,cassava harvested area,1,0.004244,Land Use,Cassava Harvested Area
OROV.revised_PA1_RUN4_RF,PA1,RUN4,RF,cassava harvested area,2,0.004138,Land Use,Cassava Harvested Area
OROV.revised_PA1_RUN4_RF,PA1,RUN4,RF,cassava harvested area,3,0.004054,Land Use,Cassava Harvested Area
OROV.revised_PA1_RUN4_RF,PA1,RUN4,RF,cassava harvested area,4,0.004417,Land Use,Cassava Harvested Area
OROV.revised_PA1_RUN4_RF,PA1,RUN4,RF,cassava harvested area,5,0.004654,Land Use,Cassava Harvested Area
OROV.revised_PA1_allRun_RF,PA1,allRun,RF,cassava harvested area,1,0.004157,Land Use,Cassava Harvested Area
OROV.revised_PA1_allRun_RF,PA1,allRun,RF,cassava harvested area,2,0.003809,Land Use,Cassava Harvested Area
OROV.revised_PA1_allRun_RF,PA1,allRun,RF,cassava harvested area,3,0.004196,Land Use,Cassava Harvested Area
OROV.revised_PA1_allRun_RF,PA1,allRun,RF,cassava harvested area,4,0.004431,Land Use,Cassava Harvested Area
OROV.revised_PA1_allRun_RF,PA1,allRun,RF,cassava harvested area,5,0.004036,Land Use,Cassava Harvested Area
OROV.revised_PA2_RUN1_RF,PA2,RUN1,RF,cassava harvested area,1,0.007115,Land Use,Cassava Harvested Area
OROV.revised_PA2_RUN1_RF,PA2,RUN1,RF,cassava harvested area,2,0.007146,Land Use,Cassava Harvested Area
OROV.revised_PA2_RUN1_RF,PA2,RUN1,RF,cassava harvested area,3,0.007482,Land Use,Cassava Harvested Area
OROV.revised_PA2_RUN1_RF,PA2,RUN1,RF,cassava harvested area,4,0.006862,Land Use,Cassava Harvested Area
OROV.revised_PA2_RUN1_RF,PA2,RUN1,RF,cassava harvested area,5,0.00708,Land Use,Cassava Harvested Area
OROV.revised_PA2_RUN2_RF,PA2,RUN2,RF,cassava harvested area,1,0.006644,Land Use,Cassava Harvested Area
OROV.revised_PA2_RUN2_RF,PA2,RUN2,RF,cassava harvested area,2,0.005876,Land Use,Cassava Harvested Area
OROV.revised_PA2_RUN2_RF,PA2,RUN2,RF,cassava harvested area,3,0.006179,Land Use,Cassava Harvested Area
OROV.revised_PA2_RUN2_RF,PA2,RUN2,RF,cassava harvested area,4,0.006628,Land Use,Cassava Harvested Area
OROV.revised_PA2_RUN2_RF,PA2,RUN2,RF,cassava harvested area,5,0.007146,Land Use,Cassava Harvested Area
OROV.revised_PA2_RUN3_RF,PA2,RUN3,RF,cassava harvested area,1,0.007903,Land Use,Cassava Harvested Area
OROV.revised_PA2_RUN3_RF,PA2,RUN3,RF,cassava harvested area,2,0.008391,Land Use,Cassava Harvested Area
OROV.revised_PA2_RUN3_RF,PA2,RUN3,RF,cassava harvested area,3,0.008688,Land Use,Cassava Harvested Area
OROV.revised_PA2_RUN3_RF,PA2,RUN3,RF,cassava harvested area,4,0.007432,Land Use,Cassava Harvested Area
OROV.revised_PA2_RUN3_RF,PA2,RUN3,RF,cassava harvested area,5,0.007978,Land Use,Cassava Harvested Area
OROV.revised_PA2_RUN4_RF,PA2,RUN4,RF,cassava harvested area,1,0.002738,Land Use,Cassava Harvested Area
OROV.revised_PA2_RUN4_RF,PA2,RUN4,RF,cassava harvested area,2,0.002969,Land Use,Cassava Harvested Area
OROV.revised_PA2_RUN4_RF,PA2,RUN4,RF,cassava harvested area,3,0.002556,Land Use,Cassava Harvested Area
